Model,Recall@10,Recall@20,Recall@50,Recall@100,NDCG@10,NDCG@20,NDCG@50,NDCG@100
ALS,0.2021261516654855,0.20705173635719346,0.21002525940867545,0.21481660088870558,0.20290126090589886,0.20621106825100027,0.2087276269988281,0.21284338534290204
Item2Vec,0.26506024096385544,0.25489014883061656,0.23483809363327438,0.23508045197982702,0.2946994764735743,0.27700128391891143,0.2518517690963613,0.24565674670760876
